Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
0.4165,0.6058777,0.44233182
0.6255,0.4868603,0.14803329
0.4015,0.23839745,0.121941306
0.9235,0.9669283,0.9285923
0.9655,0.9710335,0.4094155
-0.3625,0.22947921,0.6247688
0.516,0.5002936,0.22016062
0.818,0.783114,0.23751667
-0.962,0.13961317,0.8827981
-0.0645,0.5215154,0.8592821
0.782,0.6670871,0.065206505
0.178,0.5860934,0.72391325
-0.423,0.19793747,0.62475425
0.5855,0.67493325,0.38762233
-0.189,0.0929943,0.40383926
0.272,0.5772006,0.62312376
0.894,0.84286934,0.075269625
0.701,0.5711421,0.09750492
0.8615,0.8191657,0.12475564
0.3045,0.63039094,0.6880973
0.612,0.67469656,0.42013595
-0.1575,0.4480011,0.74398077
0.989,0.98957044,0.3309015
0.951,0.9618347,0.36746338
-0.599,0.256559,0.8259943
-0.973,0.14300305,0.88490796
-0.129,0.33978838,0.6103642
-0.2955,0.08945378,0.4561521
0.166,0.23569109,0.25000203
0.8735,0.7846785,0.029998776
0.6835,0.8158346,0.57062155
-0.1965,0.30655378,0.6328949
0.9325,0.87232494,0.056758042
0.316,0.41797718,0.3119801
0.468,0.14584439,0.04649647
0.421,0.5509114,0.44023496
0.669,0.81459695,0.6518717
-0.7975,0.12606174,0.759609
0.693,0.7744969,0.49636164
-0.1675,0.2329069,0.5116893
0.201,0.5713562,0.66383433
-1.0755,0.021801617,0.80740714
0.3845,0.60515994,0.5666743
0.8125,0.75302094,0.12956113
0.1065,0.30472395,0.39349926
0.0985,0.60258335,0.84486663
0.425,0.5897816,0.45240095
0.8355,0.847771,0.26645055
0.228,0.07682093,0.13609616
0.245,0.61219484,0.7383371
0.0605,0.16811563,0.31565863
0.4795,0.30379933,0.124959886
-0.6185,0.30448097,0.88620275
0.05,0.23362434,0.34498248
-1.3015,0.07582407,0.987825
0.112,0.47222146,0.6104532
0.8675,0.7700637,0.045874946
-0.204,0.31410852,0.6077322
-0.7775,0.12348244,0.7490269
0.399,0.62068194,0.5578847
0.969,0.9867886,0.82172495
0.8275,0.68437517,0.017089909
0.763,0.774162,0.24733666
0.4735,0.77001894,0.859368
0.899,0.81911075,0.0033573713
