Hawk-Dove Simulation on 03-22 21-40-54
Iterations:;10000
Seed used:;8379968
iteration;agentOneScore;agentTwoScore
1165;1;-0.70000005
1166;0.5;0.5
1167;0.5;0.5
1168;1;-0.70000005
1169;1;-0.70000005
1170;0.5;0.5
1171;0.5;0.5
1172;1;-0.70000005
1173;0.5;0.5
1174;1;-0.70000005
1175;0.5;0.5
1176;0.5;0.5
1177;1;-0.70000005
1178;0.5;0.5
1179;1;-0.70000005
1180;1;-0.70000005
1181;1;-0.70000005
1182;0.5;0.5
1183;1;-0.70000005
1184;0.5;0.5
1185;0.5;0.5
1186;0.5;0.5
1187;0.5;0.5
1188;0.5;0.5
1189;1;-0.70000005
1190;1;-0.70000005
1191;0.5;0.5
1192;0.5;0.5
1193;1;-0.70000005
1194;0.5;0.5
1195;0.5;0.5
1196;0.5;0.5
1197;0.5;0.5
1198;0.5;0.5
1199;1;-0.70000005
1200;0.5;0.5
1201;1;-0.70000005
1202;1;-0.70000005
1203;1;-0.70000005
1204;0.5;0.5
1205;0.5;0.5
1206;0.5;0.5
1207;0.5;0.5
1208;1;-0.70000005
1209;0.5;0.5
1210;1;-0.70000005
1211;0.5;0.5
1212;0.5;0.5
1213;1;-0.70000005
1214;0.5;0.5
1215;0.5;0.5
1216;1;-0.70000005
1217;1;-0.70000005
1218;1;-0.70000005
1219;0.5;0.5
1220;0.5;0.5
1221;1;-0.70000005
1222;0.5;0.5
1223;1;-0.70000005
1224;0.5;0.5
1225;1;-0.70000005
1226;1;-0.70000005
1227;0.5;0.5
1228;0.5;0.5
1229;0.5;0.5
1230;1;-0.70000005
1231;0.5;0.5
1232;1;-0.70000005
1233;1;-0.70000005
1234;0.5;0.5
1235;1;-0.70000005
1236;0.5;0.5
1237;0.5;0.5
1238;0.5;0.5
1239;1;-0.70000005
1240;0.5;0.5
1241;0.5;0.5
1242;0.5;0.5
1243;0.5;0.5
1244;0.5;0.5
1245;1;-0.70000005
1246;0.5;0.5
1247;0.5;0.5
1248;1;-0.70000005
1249;0.5;0.5
1250;1;-0.70000005
1251;0.5;0.5
1252;0.5;0.5
1253;0.5;0.5
1254;0.5;0.5
1255;1;-0.70000005
1256;0.5;0.5
1257;0.5;0.5
1258;1;-0.70000005
1259;1;-0.70000005
1260;0.5;0.5
1261;1;-0.70000005
1262;1;-0.70000005
1263;0.5;0.5
1264;1;-0.70000005
1265;1;-0.70000005
1266;1;-0.70000005
1267;1;-0.70000005
1268;1;-0.70000005
1269;1;-0.70000005
1270;1;-0.70000005
1271;1;-0.70000005
1272;0.5;0.5
1273;1;-0.70000005
1274;0.5;0.5
1275;1;-0.70000005
1276;0.5;0.5
1277;0.5;0.5
1278;1;-0.70000005
1279;0.5;0.5
1280;1;-0.70000005
1281;0.5;0.5
1282;1;-0.70000005
1283;0.5;0.5
1284;0.5;0.5
1285;1;-0.70000005
